raw_run,filling_scheme,filling_config,fillno,energy,intensity_per_bunch,mu,interacting_bunches,noninteracting_bunches_beam_1,noninteracting_bunches_beam_2,interaction_trigger,rate,beam_empty_trigger,empty_empty_trigger,muon_trigger,high_multiplicity_trigger,emcal_trigger,calibration_trigger,quality,muon_quality,comment,changedon,changedby,field_value,field_message,aco_value,aco_message,ad0_status,ad0_message,emc_value,emc_message,fmd_value,fmd_message,hlt_status,hlt_message,hmp_value,hmp_message,mch_status,mch_message,mtr_value,mtr_message,phs_value,phs_message,pmd_status,pmd_message,spd_value,spd_message,sdd_value,sdd_message,ssd_value,ssd_message,tof_value,tof_message,tpc_value,tpc_message,trd_value,trd_message,t00_value,t00_message,v00_value,v00_message,zdc_value,zdc_message,hlt_mode_value,hlt_mode_message, xxx
297537,421,75_150ns_733Pb_733_702_468_42bpi_20inj,7490,6369,,,702,31,31,400284,161.92719,,,692599,,,,,,,1601650826,germain,1,- -,-2000,Detector off,1,Detector was ON and running according to nominal specifications,40,PAR (time issue) in 1 or 2 SM due to PAR,-1000,Not set,-1000,Not set,6,All ok,-1000,Not set,-1000,Not set,-1000,Not set,3,PRE OK. Problem with DDL of CPV.,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,3,C
297512,421,75_150ns_733Pb_733_702_468_42bpi_20inj,7489,6369,,,702,31,31,362442,165.6499,,,608423,,,,,,,1589787642,mbroz,1,- -,-2000,Detector off,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,-1000,Not set,-1000,Not set,6,All ok,-1000,Not set,-1000,Not set,-1000,Not set,3,PRE OK. Problem with DDL of CPV.,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,3,C
297483,421,75_150ns_733Pb_733_702_468_42bpi_20inj,7488,6369,,,702,31,31,506305,155.97813,,,761150,,,,,,,1589787642,mbroz,1,- -,-2000,Detector off,1,Detector was ON and running according to nominal specifications,44,OK but part of detector should be masked,-1000,Not set,-1000,Not set,6,All ok,-1000,Not set,-1000,Not set,-1000,Not set,3,PRE OK. Problem with DDL of CPV.,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,3,C
297481,421,75_150ns_733Pb_733_702_468_42bpi_20inj,7488,6369,,,702,31,31,2384859,170.0798,,,4101174,,,,,,,1601650826,germain,1,- -,-2000,Detector off,1,Detector was ON and running according to nominal specifications,40,PAR (time issue) in 1 or 2 SM due to PAR,-1000,Not set,-1000,Not set,6,All ok,-1000,Not set,-1000,Not set,-1000,Not set,3,PRE OK. Problem with DDL of CPV.,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,3,C
297479,421,75_150ns_733Pb_733_702_468_42bpi_20inj,7488,6369,,,702,31,31,1763951,174.83904,,,2980304,,,,,,,1589787642,mbroz,1,- -,-2000,Detector off,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,-1000,Not set,-1000,Not set,6,All ok,-1000,Not set,-1000,Not set,-1000,Not set,-2000,Detector off,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,3,C
297452,421,75_150ns_733Pb_733_702_468_42bpi_20inj,7487,6369,,,702,31,31,310254,171.98116,,,439397,,,,,,,1589787642,mbroz,1,- -,-2000,Detector off,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,-1000,Not set,-1000,Not set,6,All ok,-1000,Not set,-1000,Not set,-1000,Not set,-2000,Detector off,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,3,C
297451,421,75_150ns_733Pb_733_702_468_42bpi_20inj,7487,6369,,,702,31,31,324578,165.51657,,,506243,,,,,,,1589787642,mbroz,1,- -,-2000,Detector off,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,-1000,Not set,-1000,Not set,6,All ok,-1000,Not set,-1000,Not set,-1000,Not set,3,PRE OK. Problem with DDL of CPV.,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,3,C
297450,421,75_150ns_733Pb_733_702_468_42bpi_20inj,7487,6369,,,702,31,31,460680,172.47473,,,746484,,,,,,,1589787641,mbroz,1,- -,-2000,Detector off,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,-2000,Detector off,-1000,Not set,6,All ok,-1000,Not set,-1000,Not set,-1000,Not set,3,PRE OK. Problem with DDL of CPV.,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,3,C
297446,421,75_150ns_733Pb_733_702_468_42bpi_20inj,7487,6369,,,702,31,31,1904590,168.32434,,,3109469,,,,,,,1611922877,grigoras,1,- -,-2000,Detector off,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,-1000,Not set,-1000,Not set,6,All ok,-1000,Not set,-1000,Not set,-1000,Not set,3,PRE OK. Problem with DDL of CPV.,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,3,C
297442,421,75_150ns_733Pb_733_702_468_42bpi_20inj,7487,6369,,,702,31,31,460662,158.46646,,,759298,,,,,,,1611922899,grigoras,1,- -,-2000,Detector off,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,-1000,Not set,-1000,Not set,6,All ok,-1000,Not set,-1000,Not set,-1000,Not set,3,PRE OK. Problem with DDL of CPV.,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,3,C
297441,421,75_150ns_733Pb_733_702_468_42bpi_20inj,7487,6369,,,702,31,31,1186019,172.16127,,,1946379,,,,,,,1589787641,mbroz,1,- -,-2000,Detector off,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,-1000,Not set,-1000,Not set,6,All ok,-1000,Not set,-1000,Not set,-1000,Not set,3,PRE OK. Problem with DDL of CPV.,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,3,C
297415,421,75_150ns_733Pb_733_702_468_42bpi_20inj,7486,6369,,,702,31,31,1679315,166.4336,,,2585166,,,,,,,1589787641,mbroz,1,- -,-2000,Detector off,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,-1000,Not set,-1000,Not set,6,All ok,-1000,Not set,-1000,Not set,-1000,Not set,3,PRE OK. Problem with DDL of CPV.,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,3,C
